#,,,,,,,,
agency_cd,site_no,datetime,timezone,Gage Height [ft],Discharge [cfs],Temperature [degrees C],Turbidity [FNU],Flooding
USGS,14206950,11/1/2015 22:15,PST,3.65,140,,,0
USGS,14206950,11/1/2015 22:30,PST,3.67,142,,,0
USGS,14206950,11/1/2015 22:45,PST,3.68,143,,,0
USGS,14206950,11/1/2015 23:00,PST,3.69,144,13.5,25,0
USGS,14206950,11/1/2015 23:15,PST,3.69,144,,,0
USGS,14206950,11/1/2015 23:30,PST,3.68,143,,,0
USGS,14206950,11/1/2015 23:45,PST,3.66,141,,,0
USGS,14206950,11/2/2015 0:00,PST,3.71,147,13.4,25.5,0
USGS,14206950,11/2/2015 0:15,PST,3.72,148,,,0
USGS,14206950,11/2/2015 0:30,PST,3.69,144,,,0
USGS,14206950,11/2/2015 0:45,PST,3.66,141,,,0
USGS,14206950,11/2/2015 1:00,PST,3.67,142,13.4,22.9,0
USGS,14206950,11/2/2015 1:15,PST,3.66,141,,,0
USGS,14206950,11/2/2015 1:30,PST,3.66,141,,,0
USGS,14206950,11/2/2015 1:45,PST,3.66,141,,,0
USGS,14206950,11/2/2015 2:00,PST,3.66,141,13.3,22.8,0
USGS,14206950,11/2/2015 2:15,PST,3.64,139,,,0
USGS,14206950,11/2/2015 2:30,PST,3.64,139,,,0
USGS,14206950,11/2/2015 2:45,PST,3.62,136,,,0
USGS,14206950,11/2/2015 3:00,PST,3.59,133,13.3,22.3,0
USGS,14206950,11/2/2015 3:15,PST,3.58,132,,,0
USGS,14206950,11/2/2015 3:30,PST,3.54,128,,,0
USGS,14206950,11/2/2015 3:45,PST,3.52,125,,,0
USGS,14206950,11/2/2015 4:00,PST,3.49,122,13.3,22.7,0
USGS,14206950,11/2/2015 4:15,PST,3.47,120,,,0
USGS,14206950,11/2/2015 4:30,PST,3.44,117,,,0
USGS,14206950,11/2/2015 4:45,PST,3.48,121,,,0
USGS,14206950,11/2/2015 5:00,PST,3.52,125,13.1,20.2,0
USGS,14206950,11/2/2015 5:15,PST,3.56,130,,,0
USGS,14206950,11/2/2015 5:30,PST,3.55,129,,,0
USGS,14206950,11/2/2015 5:45,PST,3.53,127,,,0
USGS,14206950,11/2/2015 6:00,PST,3.57,131,13.1,22.9,0
USGS,14206950,11/2/2015 6:15,PST,3.61,135,,,0
